player_name,position,country,link,Team,dob,Number,Height,pid
Ben Barclay,Defender,  England,http://www.premierleague.com/players/15288/Ben-Barclay/overview,Defender,07/10/1996,,,113789
Phil Bardsley,Defender,  Scotland,http://www.premierleague.com/players/2517/Phil-Bardsley/overview,Burnley,28/06/1985,26,180cm,17997
Ross Barkley,Midfielder,  England,http://www.premierleague.com/players/4115/Ross-Barkley/overview,Chelsea,05/12/1993,,189cm,88894
Ashley Barnes,Forward,  Austria,http://www.premierleague.com/players/8246/Ashley-Barnes/overview,Burnley,30/10/1989,10,186cm,44699
Antonio Barreca,Defender,  Italy,http://www.premierleague.com/players/49956/Antonio-Barreca/overview,Defender,18/03/1995,,180cm,159039
Mason Barrett,Defender,  England,http://www.premierleague.com/players/15185/Mason-Barrett/overview,Watford,24/09/1999,41,,217632
Chris Basham,Defender,  England,http://www.premierleague.com/players/3581/Chris-Basham/overview,Sheffield United,20/07/1988,6,190cm,40386
Michy Batshuayi,Forward,  Belgium,http://www.premierleague.com/players/7450/Michy-Batshuayi/overview,Chelsea,02/10/1993,,184cm,94245
Danny Batth,Defender,  England,http://www.premierleague.com/players/3988/Danny-Batth/overview,Defender,21/09/1990,,191cm,77610
Gavin Bazunu,Goalkeeper,  Ireland,http://www.premierleague.com/players/63840/Gavin-Bazunu/overview,Goalkeeper,20/02/2002,,189cm,456350
Jack Bearne,Midfielder,  England,http://www.premierleague.com/players/33166/Jack-Bearne/overview,Liverpool,15/09/2001,81,,430990
Jan Bednarek,Defender,  Poland,http://www.premierleague.com/players/19589/Jan-Bednarek/overview,Southampton,12/04/1996,35,189cm,171771
Asmir Begovic,Goalkeeper,  Bosnia And Herzegovina,http://www.premierleague.com/players/2537/Asmir-Begovic/overview,Goalkeeper,20/06/1987,,199cm,40349
Héctor Bellerín,Defender,  Spain,http://www.premierleague.com/players/4474/Héctor-Bellerín/overview,Arsenal,19/03/1995,2,178cm,98745
Yohan Benalouane,Defender,  Tunisia,http://www.premierleague.com/players/13490/Yohan-Benalouane/overview,Defender,28/03/1987,,185cm,41321
Filip Benkovic,Defender,  Croatia,http://www.premierleague.com/players/16671/Filip-Benkovic/overview,Leicester City,13/07/1997,16,194cm,213405
Ryan Bennett,Defender,  England,http://www.premierleague.com/players/4351/Ryan-Bennett/overview,Leicester City,06/03/1990,,188cm,41727
Jayden Bennetts,Midfielder,  England,http://www.premierleague.com/players/51464/Jayden-Bennetts/overview,Watford,26/06/2001,58,,461141
Josh Benson,Midfielder,  England,http://www.premierleague.com/players/14441/Josh-Benson/overview,Midfielder,05/12/1999,,,217401
Nabil Bentaleb,Midfielder,  Algeria,http://www.premierleague.com/players/4847/Nabil-Bentaleb/overview,Newcastle United,24/11/1994,42,187cm,126407
Christian Benteke,Forward,  Belgium,http://www.premierleague.com/players/4492/Christian-Benteke/overview,Crystal Palace,03/12/1990,17,190cm,54861
Sander Berge,Midfielder,  Norway,http://www.premierleague.com/players/21614/Sander-Berge/overview,Sheffield United,14/02/1998,32,195cm,207189
Steven Bergwijn,Forward,  Netherlands,http://www.premierleague.com/players/12703/Steven-Bergwijn/overview,Tottenham Hotspur,08/10/1997,23,178cm,194252
Adrián Bernabé,Midfielder,  Spain,http://www.premierleague.com/players/50975/Adrián-Bernabé/overview,Manchester City,26/05/2001,,,449926
Ethan Ampadu,Defender,  Wales,http://www.premierleague.com/players/19731/Ethan-Ampadu/overview,Defender,14/09/2000,,183cm,199598
Joseph Anang,Goalkeeper,  England,http://www.premierleague.com/players/48689/Joseph-Anang/overview,West Ham United,08/06/2000,49,,447879
Florin Andone,Forward,  Romania,http://www.premierleague.com/players/37587/Florin-Andone/overview,Forward,11/04/1993,,180cm,93284
André Gomes,Midfielder,  Portugal,http://www.premierleague.com/players/5061/André-Gomes/overview,Everton,30/07/1993,21,188cm,120250
Andreas Pereira,Midfielder,  Brazil,http://www.premierleague.com/players/10476/Andreas-Pereira/overview,Manchester United,01/01/1996,15,178cm,156689
Angeliño,Defender,  Spain,http://www.premierleague.com/players/10467/Angeliño,Defender,04/01/1997,,175cm,145235
Faustino Anjorin,Midfielder,  England,http://www.premierleague.com/players/24708/Faustino-Anjorin/overview,Chelsea,23/11/2001,55,185cm,223332
Michail Antonio,Midfielder,  England,http://www.premierleague.com/players/9595/Michail-Antonio/overview,West Ham United,28/03/1990,,180cm,57531
Billy Arce,Midfielder,  Ecuador,http://www.premierleague.com/players/51667/Billy-Arce/overview,Midfielder,12/07/1998,,178cm,240098
Cameron Archer,Forward,  England,http://www.premierleague.com/players/25281/Cameron-Archer/overview,Aston Villa,09/12/2001,51,,433979
Archie Davies,Defender,  England,http://www.premierleague.com/players/14555/Archie-Davies/overview,Brighton and Hove Albion,07/10/1998,,,215061
Stuart Armstrong,Midfielder,  Scotland,http://www.premierleague.com/players/12186/Stuart-Armstrong/overview,Southampton,30/03/1992,17,183cm,91047
Marko Arnautovic,Forward,  Austria,http://www.premierleague.com/players/4823/Marko-Arnautovic/overview,Forward,19/04/1989,,192cm,41464
Kepa Arrizabalaga,Goalkeeper,  Spain,http://www.premierleague.com/players/11373/Kepa-Arrizabalaga/overview,Chelsea,03/10/1994,1,189cm,109745
Harry Arter,Midfielder,  Ireland,http://www.premierleague.com/players/8050/Harry-Arter/overview,Midfielder,28/12/1989,,176cm,48615
Daniel Arzani,Midfielder,  Australia,http://www.premierleague.com/players/14803/Daniel-Arzani/overview,Midfielder,04/01/1999,,171cm,200797
Benny Ashley-Seal,Forward,  England,http://www.premierleague.com/players/14945/Benny-Ashley-Seal/overview,Forward,21/11/1998,,,194798
Daniel Atherton,Goalkeeper,  England,http://www.premierleague.com/players/14720/Daniel-Atherton/overview,Goalkeeper,18/12/1999,,,205204
Christian Atsu,Midfielder,  Ghana,http://www.premierleague.com/players/4859/Christian-Atsu/overview,Newcastle United,10/01/1992,30,165cm,104953
Pierre-Emerick Aubameyang,Forward,  Gabon,http://www.premierleague.com/players/5110/Pierre-Emerick-Aubameyang/overview,Arsenal,18/06/1989,14,187cm,54694
Serge Aurier,Defender,  Cote D'Ivoire,http://www.premierleague.com/players/11293/Serge-Aurier/overview,Tottenham Hotspur,24/12/1992,24,176cm,80226
Charlie Austin,Forward,  England,http://www.premierleague.com/players/9468/Charlie-Austin/overview,Forward,05/07/1989,,188cm,78356
Jordan Ayew,Forward,  Ghana,http://www.premierleague.com/players/5595/Jordan-Ayew/overview,Crystal Palace,11/09/1991,9,182cm,80146
César Azpilicueta,Defender,  Spain,http://www.premierleague.com/players/4496/César-Azpilicueta/overview,Chelsea,28/08/1989,28,178cm,41328
Daniel Bachmann,Goalkeeper,  Austria,http://www.premierleague.com/players/9762/Daniel-Bachmann/overview,Watford,09/07/1994,35,191cm,154506
Owen Bailey,Midfielder,  England,http://www.premierleague.com/players/14902/Owen-Bailey/overview,Midfielder,22/01/1999,,,220651
Eric Bailly,Defender,  Cote D'Ivoire,http://www.premierleague.com/players/12937/Eric-Bailly/overview,Manchester United,12/04/1994,3,187cm,197365
Leighton Baines,Defender,  England,http://www.premierleague.com/players/3030/Leighton-Baines/overview,Everton,11/12/1984,3,170cm,12745
Tiemoué Bakayoko,Midfielder,  France,http://www.premierleague.com/players/11260/Tiemoué-Bakayoko/overview,Midfielder,17/08/1994,,185cm,169102
Lewis Baker,Midfielder,  England,http://www.premierleague.com/players/4749/Lewis-Baker/overview,Reading,25/04/1995,16,182cm,126186
Bernard,Forward,  Brazil,http://www.premierleague.com/players/5907/Bernard,Everton,08/09/1992,20,166cm,100649
Bernardo,Defender,  Brazil,http://www.premierleague.com/players/23591/Bernardo,Brighton and Hove Albion,14/05/1995,3,186cm,209362
Bernardo Rosa,Midfielder,  Brazil,http://www.premierleague.com/players/21422/Bernardo-Rosa/overview,West Ham United,20/09/2000,44,,243710
Bernardo Silva,Midfielder,  Portugal,http://www.premierleague.com/players/5067/Bernardo-Silva/overview,Manchester City,10/08/1994,20,173cm,165809
Ryan Bertrand,Defender,  England,http://www.premierleague.com/players/2886/Ryan-Bertrand/overview,Southampton,05/08/1989,,179cm,40146
Muhamed Besic,Midfielder,  Bosnia And Herzegovina,http://www.premierleague.com/players/10451/Muhamed-Besic/overview,Sheffield United,10/09/1992,27,180cm,87447
Philip Billing,Midfielder,  Denmark,http://www.premierleague.com/players/8882/Philip-Billing/overview,AFC Bournemouth,11/06/1996,29,193cm,168991
Nathan Bishop,Goalkeeper,  England,http://www.premierleague.com/players/21881/Nathan-Bishop/overview,Manchester United,15/10/1999,,185cm,250370
Yves Bissouma,Midfielder,  Mali,http://www.premierleague.com/players/50245/Yves-Bissouma/overview,Brighton and Hove Albion,30/08/1996,8,182cm,227127
Birkir Bjarnason,Midfielder,  Iceland,http://www.premierleague.com/players/15661/Birkir-Bjarnason/overview,Midfielder,27/05/1988,,183cm,27770
Joshua Bohui,Forward,  England,http://www.premierleague.com/players/21820/Joshua-Bohui/overview,Forward,03/03/1999,,180cm,222626
Tolaji Bola,Defender,  England,http://www.premierleague.com/players/14434/Tolaji-Bola/overview,Arsenal,04/01/1999,40,188cm,183654
Yannick Bolasie,Forward,  The Democratic Republic Of Congo,http://www.premierleague.com/players/4763/Yannick-Bolasie/overview,Forward,24/06/1989,,188cm,55452
Luke Bolton,Midfielder,  England,http://www.premierleague.com/players/14793/Luke-Bolton/overview,Midfielder,07/10/1999,,,203391
Willy Boly,Defender,  Cote D'Ivoire,http://www.premierleague.com/players/16204/Willy-Boly/overview,Wolverhampton Wanderers,03/02/1991,15,195cm,90585
Gaëtan Bong,Defender,  Cameroon,http://www.premierleague.com/players/5721/Gaëtan-Bong/overview,Defender,25/04/1988,,187cm,42748
Borja Bastón,Forward,  Spain,http://www.premierleague.com/players/16622/Borja-Bastón/overview,Aston Villa,25/08/1992,,186cm,83091
Artur Boruc,Goalkeeper,  Poland,http://www.premierleague.com/players/4601/Artur-Boruc/overview,AFC Bournemouth,20/02/1980,1,193cm,18726
Sofiane Boufal,Midfielder,  Morocco,http://www.premierleague.com/players/12584/Sofiane-Boufal/overview,Southampton,17/09/1993,,170cm,128198
Jamie Bowden,Midfielder,  England,http://www.premierleague.com/players/23951/Jamie-Bowden/overview,Midfielder,09/07/2001,,,223337
Jarrod Bowen,Forward,  England,http://www.premierleague.com/players/8868/Jarrod-Bowen/overview,West Ham United,20/12/1996,,175cm,178186
Morgan Boyes,Defender,  England,http://www.premierleague.com/players/23812/Morgan-Boyes/overview,Liverpool,22/04/2001,77,,219938
Brad Smith,Defender,  Australia,http://www.premierleague.com/players/9030/Brad-Smith/overview,Defender,09/04/1994,,178cm,120447
Robbie Brady,Midfielder,  Ireland,http://www.premierleague.com/players/4158/Robbie-Brady/overview,Burnley,14/01/1992,12,176cm,90517
Claudio Bravo,Goalkeeper,  Chile,http://www.premierleague.com/players/5810/Claudio-Bravo/overview,Manchester City,13/04/1983,1,184cm,33148
James Bree,Defender,  England,http://www.premierleague.com/players/10565/James-Bree/overview,Defender,11/12/1997,,172cm,184386
Rhian Brewster,Forward,  England,http://www.premierleague.com/players/14742/Rhian-Brewster/overview,Forward,01/04/2000,,180cm,195473
Miguel Britos,Defender,  Uruguay,http://www.premierleague.com/players/5668/Miguel-Britos/overview,Defender,17/07/1985,,188cm,52153
David Brooks,Midfielder,  Wales,http://www.premierleague.com/players/13706/David-Brooks/overview,AFC Bournemouth,08/07/1997,20,173cm,111317
Josh Brownhill,Midfielder,  England,http://www.premierleague.com/players/9457/Josh-Brownhill/overview,Burnley,19/12/1995,8,180cm,172782
Bruno,Defender,  Spain,http://www.premierleague.com/players/8162/Bruno,Defender,01/10/1980,,181cm,11352
Bruno Fernandes,Midfielder,  Portugal,http://www.premierleague.com/players/23396/Bruno-Fernandes/overview,Manchester United,08/09/1994,18,179cm,141746
Bruno Jordão,Midfielder,  Portugal,http://www.premierleague.com/players/25191/Bruno-Jordão/overview,Wolverhampton Wanderers,12/10/1998,,180cm,428610
Kean Bryan,Defender,  England,http://www.premierleague.com/players/14779/Kean-Bryan/overview,Defender,01/11/1996,,185cm,109638
Emiliano Buendía,Midfielder,  Argentina,http://www.premierleague.com/players/26408/Emiliano-Buendía/overview,Norwich City,25/12/1996,17,172cm,195546
Marcin Bulka,Goalkeeper,  Poland,http://www.premierleague.com/players/23695/Marcin-Bulka/overview,Goalkeeper,04/10/1999,,199cm,231399
Mark Bunn,Goalkeeper,  England,http://www.premierleague.com/players/3567/Mark-Bunn/overview,Goalkeeper,16/11/1984,,183cm,10954
Dan Burn,Defender,  England,http://www.premierleague.com/players/8707/Dan-Burn/overview,Brighton and Hove Albion,09/05/1992,33,198cm,78916
Robbie Burton,Midfielder,  Wales,http://www.premierleague.com/players/14444/Robbie-Burton/overview,Arsenal,26/12/1999,41,176cm,199601
Rocky Bushiri,Defender,  Belgium,http://www.premierleague.com/players/66307/Rocky-Bushiri/overview,Defender,30/11/1999,,180cm,430856
Matt Butcher,Defender,  England,http://www.premierleague.com/players/11965/Matt-Butcher/overview,Midfielder,14/05/1997,,178cm,200370
David Button,Goalkeeper,  England,http://www.premierleague.com/players/3505/David-Button/overview,Brighton and Hove Albion,27/02/1989,27,191cm,50093
Oskar Buur,Defender,  Denmark,http://www.premierleague.com/players/25435/Oskar-Buur/overview,Wolverhampton Wanderers,31/03/1998,,178cm,179456
Jack Bycroft,Goalkeeper,  England,http://www.premierleague.com/players/23869/Jack-Bycroft/overview,Goalkeeper,21/09/2001,,,233462
Sam Byram,Defender,  England,http://www.premierleague.com/players/8945/Sam-Byram/overview,Norwich City,16/09/1993,3,180cm,113564
Willy Caballero,Goalkeeper,  Argentina,http://www.premierleague.com/players/10466/Willy-Caballero/overview,Chelsea,28/09/1981,13,186cm,20310
Gary Cahill,Defender,  England,http://www.premierleague.com/players/2620/Gary-Cahill/overview,Defender,19/12/1985,,193cm,19419
Callum Wilson,Forward,  England,http://www.premierleague.com/players/8454/Callum-Wilson/overview,AFC Bournemouth,27/02/1992,13,180cm,75115
Dominic Calvert-Lewin,Forward,  England,http://www.premierleague.com/players/9576/Dominic-Calvert-Lewin/overview,Everton,16/03/1997,9,187cm,177815
Víctor Camarasa,Midfielder,  Spain,http://www.premierleague.com/players/22952/Víctor-Camarasa/overview,Midfielder,28/05/1994,,183cm,175946
Brennan Camp,Defender,  Scotland,http://www.premierleague.com/players/50467/Brennan-Camp/overview,Defender,12/10/2000,,,444177
Leonardo Campana,Forward,  Ecuador,http://www.premierleague.com/players/74562/Leonardo-Campana/overview,Wolverhampton Wanderers,24/07/2000,,187cm,474003
Chem Campbell,Midfielder,  Wales,http://www.premierleague.com/players/51648/Chem-Campbell/overview,Wolverhampton Wanderers,30/12/2002,77,,461026
Todd Cantwell,Midfielder,  England,http://www.premierleague.com/players/14944/Todd-Cantwell/overview,Norwich City,27/02/1998,14,177cm,193111
Etienne Capoue,Midfielder,  France,http://www.premierleague.com/players/4843/Etienne-Capoue/overview,Watford,11/07/1988,29,189cm,38439
Guido Carrillo,Forward,  Argentina,http://www.premierleague.com/players/15989/Guido-Carrillo/overview,Forward,25/05/1991,,191cm,98914
Tom Carroll,Midfielder,  England,http://www.premierleague.com/players/4430/Tom-Carroll/overview,Midfielder,28/05/1992,,177cm,93464
Samir Carruthers,Midfielder,  Ireland,http://www.premierleague.com/players/4259/Samir-Carruthers/overview,Midfielder,04/04/1993,,173cm,114042
Scott Carson,Goalkeeper,  England,http://www.premierleague.com/players/2250/Scott-Carson/overview,Manchester City,03/09/1985,33,190cm,17601
Cameron Carter-Vickers,Defender,  United States,http://www.premierleague.com/players/13814/Cameron-Carter-Vickers/overview,Defender,31/12/1997,,183cm,168763
Lewis Cass,Defender,  England,http://www.premierleague.com/players/19951/Lewis-Cass/overview,Newcastle United,27/02/2000,45,,232960
Craig Cathcart,Defender,  Northern Ireland,http://www.premierleague.com/players/3160/Craig-Cathcart/overview,Watford,06/02/1989,15,188cm,41338
Ivan Cavaleiro,Forward,  Portugal,http://www.premierleague.com/players/5079/Ivan-Cavaleiro/overview,Forward,18/10/1993,,175cm,166324
Dani Ceballos,Midfielder,  Spain,http://www.premierleague.com/players/7163/Dani-Ceballos/overview,Arsenal,07/08/1996,8,179cm,182539
Petr Cech,Goalkeeper,  Czech Republic,http://www.premierleague.com/players/2651/Petr-Cech/overview,Goalkeeper,20/05/1982,,196cm,11334
Cédric Soares,Defender,  Portugal,http://www.premierleague.com/players/11347/Cédric-Soares/overview,Arsenal,31/08/1991,,172cm,58822
Trevoh Chalobah,Midfielder,  England,http://www.premierleague.com/players/14575/Trevoh-Chalobah/overview,Midfielder,05/07/1999,,190cm,180736
Calum Chambers,Defender,  England,http://www.premierleague.com/players/4620/Calum-Chambers/overview,Arsenal,20/01/1995,,182cm,101184
James Chester,Defender,  Wales,http://www.premierleague.com/players/2936/James-Chester/overview,Defender,23/01/1989,,180cm,43252
Chicharito,Forward,  Mexico,http://www.premierleague.com/players/4161/Chicharito,Forward,01/06/1988,,175cm,43020
Ben Chilwell,Defender,  England,http://www.premierleague.com/players/13491/Ben-Chilwell/overview,Leicester City,21/12/1996,3,178cm,172850
Pedro Chirivella,Midfielder,  Spain,http://www.premierleague.com/players/13510/Pedro-Chirivella/overview,Liverpool,23/05/1997,68,178cm,174254
Tahith Chong,Forward,  Netherlands,http://www.premierleague.com/players/20858/Tahith-Chong/overview,Manchester United,04/12/1999,,185cm,222677
Hamza Choudhury,Midfielder,  England,http://www.premierleague.com/players/13248/Hamza-Choudhury/overview,Leicester City,01/10/1997,20,178cm,197469
Andreas Christensen,Defender,  Denmark,http://www.premierleague.com/players/4495/Andreas-Christensen/overview,Chelsea,10/04/1996,4,188cm,135363
Isaac Christie-Davies,Midfielder,  England,http://www.premierleague.com/players/14589/Isaac-Christie-Davies/overview,Midfielder,18/10/1997,,,171163
Dennis Cirkin,Defender,  England,http://www.premierleague.com/players/51609/Dennis-Cirkin/overview,Tottenham Hotspur,06/04/2002,,,461195
Mitchell Clark,Defender,  Wales,http://www.premierleague.com/players/14473/Mitchell-Clark/overview,Defender,13/03/1999,,,184515
Matthew Clarke,Defender,  England,http://www.premierleague.com/players/8913/Matthew-Clarke/overview,Defender,22/09/1996,,185cm,178173
Leighton Clarkson,Midfielder,  England,http://www.premierleague.com/players/33335/Leighton-Clarkson/overview,Liverpool,19/10/2001,84,175cm,233489
Jordy Clasie,Midfielder,  Netherlands,http://www.premierleague.com/players/12365/Jordy-Clasie/overview,Midfielder,27/06/1991,,169cm,85654
Thomas Clayton,Defender,  Scotland,http://www.premierleague.com/players/23809/Thomas-Clayton/overview,Liverpool,16/12/2000,65,,219936
Tom Cleverley,Midfielder,  England,http://www.premierleague.com/players/3448/Tom-Cleverley/overview,Watford,12/08/1989,8,175cm,43250
Nathaniel Clyne,Defender,  England,http://www.premierleague.com/players/4604/Nathaniel-Clyne/overview,Liverpool,05/04/1991,2,175cm,57328
Conor Coady,Defender,  England,http://www.premierleague.com/players/4136/Conor-Coady/overview,Wolverhampton Wanderers,25/02/1993,,185cm,94147
Alex Cochrane,Defender,  England,http://www.premierleague.com/players/14559/Alex-Cochrane/overview,Brighton and Hove Albion,21/04/2000,50,,215066
Jack Colback,Midfielder,  England,http://www.premierleague.com/players/3713/Jack-Colback/overview,Midfielder,24/10/1989,,177cm,58771
Séamus Coleman,Defender,  Ireland,http://www.premierleague.com/players/3600/Séamus-Coleman/overview,Everton,11/10/1988,,177cm,59949
Will Collar,Midfielder,  England,http://www.premierleague.com/players/14549/Will-Collar/overview,Midfielder,03/02/1997,,,198868
Aaron Connolly,Forward,  Ireland,http://www.premierleague.com/players/21653/Aaron-Connolly/overview,Brighton and Hove Albion,28/01/2000,44,,233425
Theo Corbeanu,Forward,  Canada,http://www.premierleague.com/players/53182/Theo-Corbeanu/overview,Forward,17/05/2002,,,443296
Jack Cork,Midfielder,  England,http://www.premierleague.com/players/2889/Jack-Cork/overview,Burnley,25/06/1989,4,183cm,40145
Paul Coutts,Midfielder,  Scotland,http://www.premierleague.com/players/8585/Paul-Coutts/overview,Midfielder,22/07/1988,,183cm,54769
Conor Coventry,Midfielder,  Ireland,http://www.premierleague.com/players/15211/Conor-Coventry/overview,Midfielder,25/03/2000,,,222017
Martin Cranie,Defender,  England,http://www.premierleague.com/players/2559/Martin-Cranie/overview,Defender,26/09/1986,,183cm,18006
Aaron Cresswell,Defender,  England,http://www.premierleague.com/players/8897/Aaron-Cresswell/overview,West Ham United,15/12/1989,3,170cm,55459
Kane Crichlow,Midfielder,  Bermuda,http://www.premierleague.com/players/51245/Kane-Crichlow/overview,Midfielder,21/08/2000,,,459924
Flávio Cristóvão,Defender,  Portugal,http://www.premierleague.com/players/66509/Flávio-Cristóvão/overview,Wolverhampton Wanderers,23/05/1997,66,,490100
Andrew Crofts,Midfielder,  Wales,http://www.premierleague.com/players/4354/Andrew-Crofts/overview,Brighton and Hove Albion,29/05/1984,48,175cm,14898
Peter Crouch,Forward,  England,http://www.premierleague.com/players/1629/Peter-Crouch/overview,Forward,30/01/1981,,201cm,3773
Cuco Martina,Defender,  Curacao,http://www.premierleague.com/players/13716/Cuco-Martina/overview,Everton,25/09/1989,30,185cm,56192
Josh Cullen,Midfielder,  Ireland,http://www.premierleague.com/players/10539/Josh-Cullen/overview,Midfielder,07/04/1996,,175cm,172567
Jamie Cumming,Goalkeeper,  England,http://www.premierleague.com/players/14565/Jamie-Cumming/overview,Chelsea,04/09/1999,31,186cm,209706
Luke Cundle,Midfielder,  England,http://www.premierleague.com/players/23989/Luke-Cundle/overview,Wolverhampton Wanderers,26/04/2002,68,,245923
Patrick Cutrone,Forward,  Italy,http://www.premierleague.com/players/22870/Patrick-Cutrone/overview,Forward,03/01/1998,,183cm,209353
Renat Dadashov,Forward,  Azerbaijan,http://www.premierleague.com/players/49763/Renat-Dadashov/overview,Forward,17/05/1999,,186cm,219881
Pontus Dahlberg,Goalkeeper,  Sweden,http://www.premierleague.com/players/33158/Pontus-Dahlberg/overview,Goalkeeper,21/01/1999,,194cm,206882
Sam Dalby,Forward,  England,http://www.premierleague.com/players/20722/Sam-Dalby/overview,Watford,07/12/1999,40,,235381
Vontae Daley-Campbell,Defender,  England,http://www.premierleague.com/players/19868/Vontae-Daley-Campbell/overview,Defender,02/04/2001,,,232229
James Daly,Forward,  England,http://www.premierleague.com/players/24679/James-Daly/overview,Crystal Palace,12/01/2000,41,,432705
Daniel Podence,Midfielder,  Portugal,http://www.premierleague.com/players/11362/Daniel-Podence/overview,Wolverhampton Wanderers,21/10/1995,10,165cm,200600
Charlie Daniels,Defender,  England,http://www.premierleague.com/players/3242/Charlie-Daniels/overview,AFC Bournemouth,07/09/1986,11,178cm,41320
Danilo,Defender,  Brazil,http://www.premierleague.com/players/5328/Danilo,Defender,15/07/1991,,184cm,100180
